Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Attachment,Attachment,Custom field (AIS - Acceptance Criteria),Custom field (AND Theme),Custom field (ANDi Contact(s)),Custom field (ANDi Level),Custom field (ANDi Role & Level),Custom field (Ability to reproduce),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria ),Custom field (Acceptance Criteria ),Custom field (Acceptance crietera),Custom field (Ada End Date),Custom field (Affected services),Custom field (Assumptions ),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Baseline for primary metric),Custom field (Bid Documentation Link),Custom field (Bid Stage),Custom field (Billable),Custom field (Blocked reason),Custom field (Buddy),Custom field (Business Value),Custom field (Campus Start Date),Custom field (Category),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Club),Custom field (Club Vision),Custom field (Club Vision),Custom field (Comments),Custom field (Commercials),Custom field (Commericals),Custom field (Community),Custom field (Community),Custom field (Company size),Custom field (Confidence Level Score),Custom field (Content type),Custom field (Create wireframe),Custom field (Deadline),Custom field (Deadline),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Definition of Done (DOD)),Custom field (Definition of Done (DOD)),Custom field (Definition of Done (DOD)),Custom field (Definition of Ready),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Dependencies),Custom field (Dependencies),Custom field (Dependencies),Custom field (Dependent Story),Custom field (Design),Custom field (Designs ready),Custom field (Desired result),Custom field (Desktop Design),Custom field (Development),Custom field (DoD),Custom field (DoD),Custom field (DoR),Custom field (DoR),Custom field (Due by date),Custom field (Due by date),Custom field (Effort),Custom field (Email),Custom field (End date),Custom field (Engagement End Date),Custom field (Engagement Start Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time),Custom field (Estimation),Custom field (Exp. Primary KPI),Custom field (Experiment Name),Custom field (Experiment Name/Key),Custom field (Experiment Split),Custom field (GSDT: Contentful Information),Custom field (GSDT: User Story),Custom field (Gladys Lens - ANDi),Custom field (Gladys Lens - ANDi),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Club),Custom field (Gladys Lens - Club),Custom field (Gladys Lens - Commercials),Custom field (Gladys Lens - Commercials),Custom field (Goal impact),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Hiring department),Custom field (Hiring manager),Custom field (Hypothesis / Objective),Custom field (I would like to),Custom field (ILab Zone),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Impact score),Custom field (Impact vs. effort),Custom field (Insights),Custom field (Insights impact),Custom field (Interview Date),Custom field (Issue color),Custom field (Job role),Custom field (KM - Controls + Support),Custom field (KM - How?),Custom field (KM - Inputs + Pre-conditions),Custom field (KM - Outputs + Post-conditions),Custom field (KM - Role - Accountabilities),Custom field (KM - Role - Experience),Custom field (KM - Role - Responsibilities),Custom field (KM - Role - Skills),Custom field (KM - Roles + Resources),Custom field (KM - What?),Custom field (KM - Why?),Custom field (KX - Description),Custom field (Last Worked on ),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning Goal),Custom field (Learnings & Challenges),Custom field (Link to figma),Custom field (Link to storyboard/supporting media),Custom field (Linked issues),Custom field (Links to Designs),Custom field (Location),Custom field (Locked forms),Custom field (Magic Story Points),Custom field (Mobile Design),Custom field (Murray Client),Custom field (Murray Client),Custom field (Murray Squad),Custom field (Murray Squad Lead),Custom field (Next Engagement Start Date),Custom field (Number of unique visitors),Custom field (OKR Related to),Custom field (Open forms),Custom field (Opportunity value),Custom field (Persona),Custom field (Phone number),Custom field (Product Affected),Custom field (Product Value Score),Custom field (Product area),Custom field (Project Name),Custom field (Project start),Custom field (Project target),Custom field (Projected MDE),Custom field (Proposed ANDis),Custom field (Public description),Custom field (Publication date),Custom field (Questions ),Custom field (Rank),Custom field (Reference),Custom field (Release Version),Custom field (Release Version),Custom field (Release Version),Custom field (Release Version),Custom field (Request For Change),Custom field (Request For Change),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Required sample size),Custom field (Resolution),Custom field (Resolution),Custom field (Response Length),Custom field (RnD),Custom field (Roadmap),Custom field (Role Type),Custom field (Run time),Satisfaction rating,Custom field (Satisfaction date),Custom field (Score),Custom field (Session Date),Custom field (Short description),Custom field (So that),Custom field (Spec ready),Custom field (Sponsor),Sprint,Custom field (Squad),Custom field (Squad),Custom field (Squad Lead),Custom field (Start date),Custom field (Start date),Custom field (Steps to Replicate),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Who),Custom field (Story point estimate),Custom field (Story point estimate),Custom field (Story point(s)),Custom field (Story points),Custom field (Submitted forms),Custom field (Subproject),Custom field (Subproject),Custom field (Supporting Data),Custom field (T-Shirt Size),Custom field (T-Shirt Size),Custom field (T-Shirt Size),Custom field (T-shirt Size),Custom field (T-shirt Size Estimation),Custom field (TD Due By),Custom field (TShirt Size),Custom field (Target end),Custom field (Target start),Custom field (Task),Custom field (Tasks),Custom field (Team),Custom field (Team),Custom field (Tee-shirt sizing),Custom field (Template),Custom field (Test),Custom field (Theme),Custom field (Timebox),Custom field (Total forms),Custom field (Updates),Custom field (Upskilling),Custom field (Upskilling),Custom field (User Story),Custom field (Value),Custom field (Value to SH),Custom field (Vulnerability),Custom field (Website),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
SPIKE: Research Google & Supabase integration,ENKPS-38,71335,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Kimberley Kruger,61bafd21755091006a276b65,Kimberley Kruger,61bafd21755091006a276b65,19/Apr/24 10:01 AM,19/Apr/24 10:01 AM,22/Apr/24 8:51 AM,,,0,,,Kimberley Kruger,,61bafd21755091006a276b65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0424s:,,,,,,,,,,,,,,,,,,,,,,,,,,,ENKPS Sprint 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Apr/24 10:01 AM;61bafd21755091006a276b65;0.5 days timebox,,71212,Dev set up,To Do,19/Apr/24 10:01 AM
SPIKE: Compare Twillio and Supabase for email notifications,ENKPS-37,71334,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Kimberley Kruger,61bafd21755091006a276b65,Kimberley Kruger,61bafd21755091006a276b65,19/Apr/24 9:54 AM,19/Apr/24 9:56 AM,22/Apr/24 8:51 AM,,,0,,,Kimberley Kruger,,61bafd21755091006a276b65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041ua:,,,,,,,,,,,,,,,,,,,,,,,,,,,ENKPS Sprint 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Apr/24 9:56 AM;61bafd21755091006a276b65;Timebox: 0.5 days,,71212,Dev set up,To Do,19/Apr/24 9:54 AM
Create Button Link Component,ENKPS-36,71333,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Tom Pope,60abd889411c22006827c085,Kimberley Kruger,61bafd21755091006a276b65,19/Apr/24 9:42 AM,19/Apr/24 1:32 PM,22/Apr/24 8:51 AM,,,0,"1 x button types

* Link type button, ie: forgot password",,Kimberley Kruger,,61bafd21755091006a276b65,,,,,,,,,,,,,,,ENKPS-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71010,Create Account,To Do,19/Apr/24 9:42 AM
SPIKE: Analyse all different typography types across KPN,ENKPS-35,71297,Story,Done,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,Done,,,Kimberley Kruger,61bafd21755091006a276b65,Kimberley Kruger,61bafd21755091006a276b65,18/Apr/24 9:55 AM,18/Apr/24 10:30 AM,22/Apr/24 8:51 AM,18/Apr/24 10:30 AM,,0,,,Kimberley Kruger,,61bafd21755091006a276b65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13187_*:*_1_*:*_0_*|*_13185_*:*_1_*:*_2111557,,18/Apr/24 10:30 AM;61bafd21755091006a276b65;Duplication - combined with another spike,,,,Done,18/Apr/24 10:30 AM
Create typography,ENKPS-34,71296,Task,Done,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,Done,,,Kimberley Kruger,61bafd21755091006a276b65,Kimberley Kruger,61bafd21755091006a276b65,18/Apr/24 9:50 AM,18/Apr/24 2:48 PM,22/Apr/24 8:51 AM,18/Apr/24 2:48 PM,,0,"* Create typography component where you can choose the variant 
* Heading 
* Subheading 
* Body text
* Example
** <Typography variant=""h1"" component=""h2""> h1. Heading </Typography>",,Eniko Kosztolanyi,Kimberley Kruger,60ac10b81155bb006fbd90e3,61bafd21755091006a276b65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-18 13:37:04.274,13187_*:*_1_*:*_0_*|*_13185_*:*_1_*:*_17891260,,"18/Apr/24 2:37 PM;60ac10b81155bb006fbd90e3;[~accountid:61bafd21755091006a276b65] I think we can delete this, as [https://anddigitaltransformation.atlassian.net/browse/ENKPS-28|https://anddigitaltransformation.atlassian.net/browse/ENKPS-28|smart-link] covers it",,71010,Create Account,Done,18/Apr/24 2:48 PM
Setup Authentication w. Google in Supabase,ENKPS-33,71251,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Tom Pope,60abd889411c22006827c085,Tom Pope,60abd889411c22006827c085,16/Apr/24 3:21 PM,19/Apr/24 9:59 AM,22/Apr/24 8:51 AM,,,0,,,Kimberley Kruger,Tom Pope,61bafd21755091006a276b65,60abd889411c22006827c085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-19 08:58:59.25,,,19/Apr/24 9:58 AM;61bafd21755091006a276b65;Duplication,,71010,Create Account,To Do,16/Apr/24 3:21 PM
Setup Users table in Supabase and policies that allow read and write access to authenticated users,ENKPS-32,71250,Story,Done,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,Done,,,Tom Pope,60abd889411c22006827c085,Tom Pope,60abd889411c22006827c085,16/Apr/24 3:18 PM,19/Apr/24 9:57 AM,22/Apr/24 8:51 AM,19/Apr/24 9:57 AM,,0,"* Create table of Users with schema holding relevant data
* Set table policies to make sure the table is accessed only by authenticated users
* Create user when user adds email verification
* Updates user information when form is submitted (User ID should be in the URL to pass to Supabase)",,Kimberley Kruger,Tom Pope,61bafd21755091006a276b65,60abd889411c22006827c085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-19 08:57:09.881,13187_*:*_1_*:*_0_*|*_13185_*:*_1_*:*_239937059,,19/Apr/24 9:57 AM;61bafd21755091006a276b65;This is a duplication - covered by the set up for Supabase by JP,,71010,Create Account,Done,19/Apr/24 9:57 AM
Setup Email actions on creation of email (SendGrid),ENKPS-31,71247,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Tom Pope,60abd889411c22006827c085,Tom Pope,60abd889411c22006827c085,16/Apr/24 3:08 PM,19/Apr/24 9:54 AM,22/Apr/24 8:51 AM,,,0,"SendGrid (Twilio’s Email service) allows you to send 100 emails a day on a free account. We will need to setup the service to be able to send emails to the user after they have input their email and account. This ticket is to setup the SendGrid account, and create the functionality that allows the user to verify their email and be redirected to the KPN inloggen form. ",,Tom Pope,,60abd889411c22006827c085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040li:d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71010,Create Account,To Do,16/Apr/24 3:08 PM
Create Input Component,ENKPS-30,71244,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Tom Pope,60abd889411c22006827c085,Tom Pope,60abd889411c22006827c085,16/Apr/24 3:04 PM,19/Apr/24 9:52 AM,22/Apr/24 8:51 AM,,,0,"While you’re not creating the validation here, you’re creating the styling which the validation will use. Example input types include:

* Email 
* Password 
* Etc 

Additional types of input include:

* Radio button
* Show password

You also need to be able to render the error message below the input fields, when not completed correctly. ",,Tom Pope,,60abd889411c22006827c085,,,,,,,,,,ENKPS-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041ts:,,,,,,,,,,,,,,,,,,,,,,,,,,,ENKPS Sprint 1,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71010,Create Account,To Do,16/Apr/24 3:04 PM
SPIKE: What does KPN use for accessibility and what techniques we should adopt,ENKPS-29,71242,Story,To Do,ENKPS,EUHub Nexus | KPN Practice Sprints ,software,Kimberley Kruger,61bafd21755091006a276b65,,Medium,,,,Tom Pope,60abd889411c22006827c085,Tom Pope,60abd889411c22006827c085,16/Apr/24 3:02 PM,18/Apr/24 12:29 PM,22/Apr/24 8:51 AM,,,0,,,Kimberley Kruger,Tom Pope,61bafd21755091006a276b65,60abd889411c22006827c085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i040lh:zzai,,,,,,,,,,,,,,,,,,,,,,,,,,,ENKPS Sprint 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-18 08:13:03.97,,,16/Apr/24 3:03 PM;60abd889411c22006827c085;timebox 0.5 days,"18/Apr/24 9:13 AM;61bafd21755091006a276b65;* Lighthouse test/ways to improve (Eniko comment)
* Whoever picks this up should present findings back to the team so we can build this into our ways of working 
* Expected outcome: list of principles to follow",71212,Dev set up,To Do,16/Apr/24 3:02 PM
