Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Polaris datapoint issue link),Inward issue link (Polaris datapoint issue link),Inward issue link (Polaris datapoint issue link),Outward issue link (Polaris datapoint issue link),Outward issue link (Polaris datapoint issue link),Inward issue link (Polaris issue link),Inward issue link (Polaris issue link),Inward issue link (Polaris issue link),Inward issue link (Polaris issue link),Outward issue link (Polaris issue link),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (AIS - Acceptance Criteria),Custom field (AND Theme),Custom field (ANDi Contact(s)),Custom field (ANDi Level),Custom field (ANDi Role & Level),Custom field (Ability to reproduce),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria ),Custom field (Acceptance Criteria ),Custom field (Acceptance crietera),Custom field (Ada End Date),Custom field (Affected services),Custom field (Assumptions ),Custom field (Baseline for primary metric),Custom field (Bid Documentation Link),Custom field (Bid Stage),Custom field (Billable),Custom field (Blocked reason),Custom field (Buddy),Custom field (Business Value),Custom field (Campus Start Date),Custom field (Category),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Club),Custom field (Club Vision),Custom field (Club Vision),Custom field (Comments),Custom field (Commercials),Custom field (Commericals),Custom field (Community),Custom field (Community),Custom field (Company size),Custom field (Confidence Level Score),Custom field (Content type),Custom field (Create wireframe),Custom field (Deadline),Custom field (Deadline),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Definition of Done (DOD)),Custom field (Definition of Done (DOD)),Custom field (Definition of Done (DOD)),Custom field (Definition of Ready),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Dependencies),Custom field (Dependencies),Custom field (Dependencies),Custom field (Dependent Story),Custom field (Design),Custom field (Designs),Custom field (Designs ready),Custom field (Desired result),Custom field (Desktop Design),Custom field (Development),Custom field (DoD),Custom field (DoD),Custom field (DoR),Custom field (DoR),Custom field (Due by date),Custom field (Due by date),Custom field (Effort),Custom field (Email),Custom field (End date),Custom field (Engagement End Date),Custom field (Engagement Start Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time),Custom field (Estimation),Custom field (Exp. Primary KPI),Custom field (Experiment Name),Custom field (Experiment Name/Key),Custom field (Experiment Split),Custom field (GSDT: Contentful Information),Custom field (GSDT: User Story),Custom field (Gladys Lens - ANDi),Custom field (Gladys Lens - ANDi),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Client),Custom field (Gladys Lens - Club),Custom field (Gladys Lens - Club),Custom field (Gladys Lens - Commercials),Custom field (Gladys Lens - Commercials),Custom field (Goal impact),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Guild),Custom field (Hiring department),Custom field (Hiring manager),Custom field (Hypothesis / Objective),Custom field (I would like to),Custom field (ILab Zone),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Impact score),Custom field (Impact vs. effort),Custom field (Insights),Custom field (Insights impact),Custom field (Interview Date),Custom field (Issue color),Custom field (Job role),Custom field (KM - Controls + Support),Custom field (KM - How?),Custom field (KM - Inputs + Pre-conditions),Custom field (KM - Outputs + Post-conditions),Custom field (KM - Role - Accountabilities),Custom field (KM - Role - Experience),Custom field (KM - Role - Responsibilities),Custom field (KM - Role - Skills),Custom field (KM - Roles + Resources),Custom field (KM - What?),Custom field (KM - Why?),Custom field (KX - Description),Custom field (Last Worked on ),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning & Challenges),Custom field (Learning Goal),Custom field (Learnings & Challenges),Custom field (Link to figma),Custom field (Link to storyboard/supporting media),Custom field (Linked issues),Custom field (Links to Designs),Custom field (Location),Custom field (Locked forms),Custom field (Magic Story Points),Custom field (Mobile Design),Custom field (Murray Client),Custom field (Murray Client),Custom field (Murray Squad),Custom field (Murray Squad Lead),Custom field (Newton Client),Custom field (Newton Squad),Custom field (Next Engagement Start Date),Custom field (Number of unique visitors),Custom field (OKR Related to),Custom field (Open forms),Custom field (Opportunity value),Custom field (Persona),Custom field (Phone number),Custom field (Product Affected),Custom field (Product Value Score),Custom field (Product area),Custom field (Project Name),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Projected MDE),Custom field (Proposed ANDis),Custom field (Public description),Custom field (Publication date),Custom field (Questions ),Custom field (Rank),Custom field (Reference),Custom field (Release Version),Custom field (Release Version),Custom field (Release Version),Custom field (Release Version),Custom field (Request For Change),Custom field (Request For Change),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Required sample size),Custom field (Resolution),Custom field (Resolution),Custom field (Response Length),Custom field (RnD),Custom field (Roadmap),Custom field (Role Type),Custom field (Run time),Satisfaction rating,Custom field (Satisfaction date),Custom field (Score),Custom field (Session Date),Custom field (Short description),Custom field (So that),Custom field (Spec ready),Custom field (Sponsor),Sprint,Custom field (Squad),Custom field (Squad),Custom field (Squad Lead),Custom field (Start date),Custom field (Start date),Custom field (Steps to Replicate),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Who),Custom field (Story point estimate),Custom field (Story point estimate),Custom field (Story point(s)),Custom field (Story points),Custom field (Structure),Custom field (Submitted forms),Custom field (Subproject),Custom field (Subproject),Custom field (Supporting Data),Custom field (T-Shirt Size),Custom field (T-Shirt Size),Custom field (T-Shirt Size),Custom field (T-shirt Size),Custom field (T-shirt Size Estimation),Custom field (TD Due By),Custom field (TShirt Size),Custom field (Target end),Custom field (Target start),Custom field (Task),Custom field (Task Type),Custom field (Tasks),Custom field (Team),Custom field (Team),Custom field (Tee-shirt sizing),Custom field (Template),Custom field (Test),Custom field (Theme),Custom field (Timebox),Custom field (Total forms),Custom field (Updates),Custom field (Upskilling),Custom field (Upskilling),Custom field (User Story),Custom field (Value),Custom field (Value to SH),Custom field (Vulnerability),Custom field (Website),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Create View for results of the survey,ARS-47,72028,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,08/May/24 12:51 PM,08/May/24 12:52 PM,08/May/24 12:52 PM,,,0,,,PAOLO BRUNASTI,,6347d09a5efe6ce125d88f6f,,,,,,,,,,,,,,,,,,,,,,,,,ARS-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i045i4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

* 

Out of scope:

* 
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* 
{panel}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71899,Back End for Survey,To Do,08/May/24 12:51 PM
Generate Tailwing FE theme file,ARS-46,72016,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,,,Juan Solano,633409fea84c7f79c38738eb,Juan Solano,633409fea84c7f79c38738eb,08/May/24 10:29 AM,08/May/24 10:29 AM,08/May/24 12:54 PM,,,0,,,Juan Solano,,633409fea84c7f79c38738eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044j3:g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

* 

Out of scope:

* 
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* 
{panel}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,08/May/24 10:29 AM
Review Gitlab Pipeline,ARS-45,72003,Story,Done,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,Done,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,Juan Solano,633409fea84c7f79c38738eb,Juan Solano,633409fea84c7f79c38738eb,08/May/24 9:34 AM,08/May/24 10:48 AM,08/May/24 9:52 AM,08/May/24 10:48 AM,,0,,,Juan Solano,PAOLO BRUNASTI,633409fea84c7f79c38738eb,6347d09a5efe6ce125d88f6f,,,,,,,,,,,,,,,,,,,,,,,,,,08/May/24 10:13 AM;633409fea84c7f79c38738eb;Screenshot 2024-05-08 at 11.12.35.png;https://anddigitaltransformation.atlassian.net/rest/api/3/attachment/content/23657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044j1:kd,,,,,,,,,,,,,,,,,,,,,,,,,,,ARS Sprint 1,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

* 

Out of scope:

* 
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* 
{panel}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-08 08:48:32.691,13260_*:*_1_*:*_3357987_*|*_13261_*:*_1_*:*_0_*|*_13259_*:*_1_*:*_1077201,,"08/May/24 9:48 AM;6347d09a5efe6ce125d88f6f;[~accountid:633409fea84c7f79c38738eb] maybe should the Build-job should follow the Test-job or the opposite…
If the build create the final artefact, then it should be done after the test.
But if the test executes based on build, then is the test that is to be done after build.","08/May/24 10:13 AM;633409fea84c7f79c38738eb;Good catch! I set the pipeline to look like this now 🙂 



!Screenshot 2024-05-08 at 11.12.35.png|width=969,height=253,alt=""Screenshot 2024-05-08 at 11.12.35.png""!",71911,Infrastructure,Done,08/May/24 10:48 AM
Typeform Hubspot integration,ARS-44,71988,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,,,Inês Abreu,6177c07cf6da6a006af93d7b,Inês Abreu,6177c07cf6da6a006af93d7b,07/May/24 3:40 PM,07/May/24 4:05 PM,08/May/24 9:00 AM,,,0,,,Inês Abreu,,6177c07cf6da6a006af93d7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044ki:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

Out of scope:
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* some info on the integration with HubSpot [https://www.typeform.com/help/a/hub-spot-integration-installation-and-setup-360029578071/|https://www.typeform.com/help/a/hub-spot-integration-installation-and-setup-360029578071/|smart-link]
{panel}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,07/May/24 3:40 PM
Survey Hubspot integration,ARS-43,71987,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,Inês Abreu,6177c07cf6da6a006af93d7b,Inês Abreu,6177c07cf6da6a006af93d7b,07/May/24 3:39 PM,08/May/24 9:00 AM,08/May/24 12:54 PM,,,0,,,Inês Abreu,,6177c07cf6da6a006af93d7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044kg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

Out of scope:
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* overview of the similar project Pete Davies mentioned that they are working with a 3rd party (Articulate) and includes hubspot integration - [https://hubs.ly/Q02sJtj30|https://hubs.ly/Q02sJtj30]
{panel}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,07/May/24 3:39 PM
Results Page - Personalised Thank you message,ARS-42,71976,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,,,Inês Abreu,6177c07cf6da6a006af93d7b,Inês Abreu,6177c07cf6da6a006af93d7b,07/May/24 1:48 PM,07/May/24 2:47 PM,08/May/24 12:54 PM,,,0,The Personalized Thank You Message on Results Page feature enhances user satisfaction by dynamically incorporating the participant's first name into the thank you message displayed on the results page. This customization adds a personal touch to the survey experience and strengthens the connection between the participant and the survey initiative.,,Inês Abreu,,6177c07cf6da6a006af93d7b,,,,,,,,,,,,,,,ARS-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044kb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*survey user

*I want…*the thank you message on the results page to address me by my first name

*So that…*I feel acknowledged and appreciated for my participation in the survey
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

*In scope:*

# Retrieval of the participant's first name input from the landing page.
# Integration of the participant's first name into the thank you message displayed on the results page.
# Development of logic to dynamically insert the participant's first name into the thank you message.
# Testing to ensure accurate rendering of personalised thank you messages based on participant input.



*Out of scope:*

* Personalisation of the thank you message beyond the participant's first name.
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

*Given* I input my first name on the landing page, *When* I complete the survey, *Then* I should observe my first name dynamically inserted into the thank you message on the results page.

*Given* I input a different first name on the landing page, *When* I finish the survey, *Then* I should see the updated first name reflected in the thank you message on the results page.
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*
{panel}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,07/May/24 1:48 PM
Questions Page - Personalised with company name,ARS-41,71975,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,,,Inês Abreu,6177c07cf6da6a006af93d7b,Inês Abreu,6177c07cf6da6a006af93d7b,07/May/24 1:38 PM,08/May/24 10:39 AM,08/May/24 12:54 PM,,,0,The Personalized Survey Questions with Company Name feature enhances user engagement by dynamically replacing generic company references in survey questions with the name provided by the participant on the landing page. This customization creates a more personalized experience for survey participants and increases their sense of relevance and involvement in the survey process.,,Inês Abreu,,6177c07cf6da6a006af93d7b,,,,,,,,,,,,,,,ARS-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044js:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*survey user

*I want…*the survey questions to be personalised with the name of my company

*So that…*I feel more engaged and connected to the survey content.
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

*In scope:*

# Identification of survey questions containing generic company references (e.g., ""the company,"" ""your company,"" “the organisation” etc.).
# Development of logic to dynamically replace generic company references with the user's company name.
# Integration of participant-provided company name from the landing page input field into survey question text.
# Testing to ensure accurate replacement of company names and proper rendering of personalised survey questions.



*Out of scope:*

* Customization of survey questions beyond the scope of company name replacement
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given* I input my company name on the landing page, *When* I proceed to the survey questions, *Then* I should observe my company name dynamically inserted into relevant survey question text.

*Given* I enter a different company name on the landing page, *When* I navigate to the survey questions, *Then* I should see the updated company name reflected in the survey question text.
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*
{panel}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,07/May/24 1:38 PM
AWS Environment,ARS-40,71941,Story,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,,,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,06/May/24 4:43 PM,06/May/24 4:43 PM,07/May/24 10:43 AM,,,0,,,PAOLO BRUNASTI,,6347d09a5efe6ce125d88f6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i04538:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

* 

Out of scope:

* 
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* 
{panel}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71911,Infrastructure,To Do,06/May/24 4:43 PM
Investigate HubSpot integration,ARS-39,71940,Subtask,To Do,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,PAOLO BRUNASTI,6347d09a5efe6ce125d88f6f,06/May/24 4:40 PM,06/May/24 4:40 PM,06/May/24 4:40 PM,,,0,,,PAOLO BRUNASTI,,6347d09a5efe6ce125d88f6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i04530:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71834,Email with Results as a pdf,To Do,06/May/24 4:40 PM
Generate Gitlab Pipeline,ARS-38,71939,Story,Done,ARS,AI Readiness survey,software,Inês Abreu,6177c07cf6da6a006af93d7b,,Medium,Done,Juan Solano,633409fea84c7f79c38738eb,Juan Solano,633409fea84c7f79c38738eb,Juan Solano,633409fea84c7f79c38738eb,06/May/24 4:04 PM,08/May/24 10:21 AM,07/May/24 4:16 PM,08/May/24 10:21 AM,,0,,,Juan Solano,,633409fea84c7f79c38738eb,,,,,,,,,,,ARS-28,,,,,,,,,,,,,ARS-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i044j1:k9,,,,,,,,,,,,,,,,,,,,,,,,,,,ARS Sprint 1,,,,,,,,,,,,3.0,,,"{panel:bgColor=#e3fcef}
*GOAL*

*As a…*

*I want…*

*So that…*
{panel}

{panel:bgColor=#eae6ff}
*SCOPE*

In scope:

* 

Out of scope:

* 
{panel}

{panel:bgColor=#deebff}
*ACCEPTANCE CRITERIA*

+*Scenario 1*+

*Given…*

*When…*

*Then…*
{panel}

{panel:bgColor=#fffae6}
*TECH CONSIDERATIONS*

* 
{panel}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13260_*:*_1_*:*_79254705_*|*_13261_*:*_1_*:*_0_*|*_13262_*:*_1_*:*_72828932_*|*_13259_*:*_1_*:*_102935,,,,,,Done,08/May/24 10:21 AM
