Issuetype,Issuecode,Issue id,Samenvatting,Uitvoerder,Uitvoerder-ID,Status,Aangemaakt,Σ Oorspronkelijke schatting,Σ Bestede tijd
Taak,FREEL-117,69272,Turn Off OPP for org. [573],,,Backlog,12/feb/25 1:58 PM,,
Taak,FREEL-116,69267,org 556 blocked FL 5016 but FL isnt blocked,,,Backlog,12/feb/25 12:29 PM,,
Taak,FREEL-115,69264,"[4408] Fatma Polat, payment issue",,,Backlog,12/feb/25 11:57 AM,,
Story,FREEL-114,69261,Question from organisation,,,Backlog,12/feb/25 11:24 AM,,
Taak,FREEL-113,69254,please change the 'standaard bemiddelingsovereenkomst' for all organisations & freelancers,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,11/feb/25 5:43 PM,,
Taak,FREEL-112,69247,change email adres [2131],Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Backlog,11/feb/25 2:31 PM,,
Taak,FREEL-111,69230,Organisation adress change org Wasko [560],Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,11/feb/25 10:13 AM,,
Taak,FREEL-109,69218,add info to org. [153] Oase,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,10/feb/25 5:12 PM,,
Bug,FREEL-108,69217,[3574] button 'certificaten toevoegen' isn't visable,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,10/feb/25 4:58 PM,,
Taak,FREEL-107,69214,Change Diploma Type to Sociaal Pedagogisch Werker 3 for Naima Sayeh FL [1809] ,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,10/feb/25 4:14 PM,,
Bug,FREEL-105,69212,Certificate Type is not available to Add again if Migrated Certificate was deleted,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Actief,10/feb/25 3:17 PM,,
Taak,FREEL-104,69204,"FL been waiting months, so please TODAY [5016] Karin Hackfoort VVE title is gone",Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Actief,10/feb/25 11:04 AM,,
Taak,FREEL-103,69188,FL[4565] € in assignment is different from shift since FL asked for other price,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,06/feb/25 6:51 PM,,
Taak,FREEL-100,69171,"[2984] is rejected at KYC, but doesn't see Rejection reason and sees Paid On date on her invoice in the App (Ruveyda Kilic)",Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,06/feb/25 12:29 PM,,
Taak,FREEL-99,69168,[3338] IBAN change,,,Selected for Development,06/feb/25 11:57 AM,,
Taak,FREEL-93,69137,Can we add certificate title? FL_issue[5506],Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,05/feb/25 9:45 AM,,
Taak,FREEL-84,69126,password reset,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,04/feb/25 10:12 PM,,
Bug,FREEL-78,69098,FL's who shouldnt see babyshifts,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,03/feb/25 2:43 PM,,
Story,FREEL-73,69067,org. 633 want all mails on flexpool@welschap.nl ,,,Selected for Development,30/jan/25 4:34 PM,,
Taak,FREEL-71,69064,FL [4446] still can not see KDV shifts,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,30/jan/25 4:23 PM,,
Taak,FREEL-70,69063,FL doesn't recieve mail when ask for password reset,Levi van Hoorn | Tadaah,712020:de517cfd-40f4-4b40-a0f4-958510db894b,Backlog,30/jan/25 4:12 PM,,
Story,FREEL-64,69046,Additional evidence is not visible for organisation,,,Selected for Development,30/jan/25 1:35 PM,,
Story,FREEL-51,68926,Payments outside platform,,,Selected for Development,23/jan/25 2:18 PM,,
Taak,FREEL-43,68900,Change IBAN for following freelancers [5099] and [8235],,,Selected for Development,22/jan/25 6:21 PM,,
Taak,FREEL-37,68866,IBAN changes to be made for freelancers,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Selected for Development,21/jan/25 12:28 PM,,
Story,FREEL-36,68857,Unjustified invoice - shift and invoice to be changed in status to no show,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Selected for Development,21/jan/25 9:49 AM,,
Taak,FREEL-34,68842,[PAUSED] Export payment data from all Blos organisations,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,20/jan/25 4:00 PM,,
Story,FREEL-24,68752,Export Summary of invoiced freelancer hours per org_id,Tanya Lyabik,557058:a45a5ea8-6f14-4f87-b402-eaead1d584b5,Actief,16/jan/25 2:59 PM,,
